id	name	type	type_id
0	Donald Trump	PERSON	0
1	United States	GPE	1
2	China	GPE	1
3	U.S. Federal Reserve	ORG/REG	7
4	Joe Biden	PERSON	0
5	COVID-19	EVENT	3
6	Russia	GPE	1
7	US Government	ORG/GOV	6
10	Jerome Powell	PERSON	0
12	President Trump Administration	ORG/GOV	6
13	Iran	GPE	1
14	United Kingdom	GPE	1
15	Saudi Arabia	GPE	1
16	Elon Musk	PERSON	0
18	Investors	PERSON	0
19	Democrats	ORG	5
21	U.S. Dollar	FIN_INSTRUMENT	4
22	Ukraine	GPE	1
23	Vladimir Putin	PERSON	0
24	S&P500	FIN_INSTRUMENT	4
25	Inflation	ECON_INDICATOR	9
26	Israel	GPE	1
27	Justice department	ORG/GOV	6
28	Germany	GPE	1
29	European Union	ORG/GOV	6
31	Turkey	GPE	1
32	North Korea	GPE	1
33	Canada	GPE	1
35	Japan	GPE	1
36	Dow Jones Industrial Average	FIN_INSTRUMENT	4
37	European Central Bank	ORG/GOV	6
38	The Biden Administration	ORG/GOV	6
39	Italy	GPE	1
40	Hong Kong	GPE	1
41	OPEC	ORG	5
43	Stephen Mnuchin	PERSON	0
44	Boris Johnson	PERSON	0
45	Bernie Sanders	PERSON	0
46	Xi Jinping	PERSON	0
47	Elizabeth Warren	PERSON	0
49	Republicans	ORG	5
50	Mexico	GPE	1
51	South Korea	GPE	1
52	Beijing	GPE	1
53	France	GPE	1
54	Congress	ORG/GOV	6
55	Nancy Pelosi	PERSON	0
56	Kim Jong-un	PERSON	0
59	Andrew Cuomo	PERSON	0
60	Janet Yellen	PERSON	0
61	Michael Pompeo	PERSON	0
62	Emmanuel Macron	PERSON	0
63	Gold	FIN_INSTRUMENT	4
64	U.S. stocks	FIN_INSTRUMENT	4
65	Supreme Court	ORG/GOV	6
66	Securities and Exchange Commission	ORG/REG	7
67	Michael Cohen	PERSON	0
70	Federal Reserve Bank of New York	ORG/GOV	6
71	Taliban	ORG	5
72	Australia	GPE	1
73	Europe	GPE	1
74	Mrs. Theresa May	PERSON	0
75	Kamala Harris	PERSON	0
76	Oil prices	FIN_INSTRUMENT	4
77	California	GPE	1
81	Mark Zuckerberg	PERSON	0
82	India	GPE	1
83	Brazil	GPE	1
87	Nasdaq Composite	FIN_INSTRUMENT	4
88	Bank of Canada	ORG/GOV	6
89	Venezuela	GPE	1
90	Senate	ORG/GOV	6
91	Interest Rates	ECON_INDICATOR	9
92	Benjamin Netanyahu	PERSON	0
93	government	ORG/GOV	6
94	bitcoin	FIN_INSTRUMENT	4
95	Covid-19 Vaccines	PRODUCT	10
96	Department of Labor	ORG/GOV	6
97	City of New York	GPE	1
98	The U.S. Economy	GPE	1
100	Justice Brett Kavanaugh	PERSON	0
102	Pope Francis	PERSON	0
103	Democratic Party	ORG	5
104	Andrés Manuel López Obrador	PERSON	0
